title,link,source,date
China's ICBC launches $11 billion technology innovation fund,https://www.reuters.com/business/finance/chinas-icbc-launches-11-billion-technology-innovation-fund-2025-03-12/,Reuters,2025-03-12
OpenAI launches new developer tools as Chinese AI startups gain ground,https://www.reuters.com/technology/artificial-intelligence/openai-launches-new-developer-tools-chinese-ai-startups-gain-ground-2025-03-11/,Reuters,2025-03-12
"Exclusive: Geely-backed Ecarx in talks with VW to develop smart cars for Europe, US, CEO says",https://www.reuters.com/business/autos-transportation/geely-backed-ecarx-talks-with-vw-develop-smart-cars-europe-us-ceo-says-2025-03-12/,Reuters,2025-03-12
French publishers and authors file lawsuit against Meta in AI case,https://www.reuters.com/technology/artificial-intelligence/french-publishers-authors-file-lawsuit-against-meta-ai-case-2025-03-12/,Reuters,2025-03-12
USDOT says Verizon not moving fast enough on $2.4 billion FAA contract,https://www.reuters.com/business/media-telecom/usdot-says-verizon-not-moving-fast-enough-24-billion-faa-contract-2025-03-11/,Reuters,2025-03-12
Spotify says it paid $10 billion in royalties in 2024,https://www.reuters.com/technology/spotify-says-it-paid-10-billion-royalties-2024-2025-03-12/,Reuters,2025-03-12
China's Manus AI partners with Alibaba's Qwen team in expansion bid,https://www.reuters.com/technology/artificial-intelligence/chinas-manus-ai-announces-partnership-with-alibabas-qwen-team-2025-03-11/,Reuters,2025-03-12
"Amazon, Google sign pledge to support tripling of nuclear energy capacity by 2050",https://www.reuters.com/business/energy/amazon-google-sign-pledge-support-tripling-nuclear-energy-capacity-by-2050-2025-03-12/,Reuters,2025-03-12
Intel jumps 12% as investors cheer appointment of new CEO Tan,https://www.reuters.com/technology/intel-jumps-10-incoming-ceo-tan-brings-instant-credibility-turnaround-efforts-2025-03-13/,Reuters,2025-03-13
Cryptoverse: Bitcoin's bear market hits newcomers hardest,https://www.reuters.com/technology/cryptoverse-bitcoins-bear-market-hits-newcomers-hardest-2025-03-13/,Reuters,2025-03-13
Intel's new CEO Lip-Bu Tan has a history as a successful underdog,https://www.reuters.com/technology/intels-new-ceo-lip-bu-tan-has-history-successful-underdog-2025-03-13/,Reuters,2025-03-13
Turkey's independent news websites face closure risk after Google changes,https://www.reuters.com/technology/turkeys-independent-news-websites-face-closure-risk-after-google-changes-2025-03-13/,Reuters,2025-03-13
US-blacklisted Zhipu AI gets fresh funding from Chinese state firm,https://www.reuters.com/technology/artificial-intelligence/us-blacklisted-zhipu-ai-gets-fresh-funding-chinese-state-firm-2025-03-13/,Reuters,2025-03-13
Deliveroo pushes back margin goal as consumers struggle,https://www.reuters.com/business/retail-consumer/deliveroo-reports-first-year-profit-positive-cash-flow-2025-03-13/,Reuters,2025-03-13
"Tesla working with Baidu to improve assisted driving system in China, sources say",https://www.reuters.com/business/autos-transportation/tesla-working-with-baidu-improve-assisted-driving-system-china-sources-2025-03-13/,Reuters,2025-03-13
Meta to test community notes in US from March 18,https://www.reuters.com/technology/meta-test-community-notes-us-march-18-2025-03-13/,Reuters,2025-03-13
"Trump family held deal talks with Binance's US arm, WSJ reports",https://www.reuters.com/world/us/trump-family-held-deal-talks-with-binances-us-arm-wsj-reports-2025-03-13/,Reuters,2025-03-13
SoFi seals up to $5 billion loan agreement as fintech lending gains ground,https://www.reuters.com/business/finance/sofi-seals-up-5-billion-loan-agreement-fintech-lending-gains-ground-2025-03-13/,Reuters,2025-03-13
OpenAI and Musk agree to fast tracked trial over for-profit shift,https://www.reuters.com/technology/artificial-intelligence/openai-musk-agree-fast-tracked-trial-over-for-profit-shift-2025-03-15/,Reuters,2025-03-15
"Starship, carrying Tesla's bot, set for Mars by end-2026: Elon Musk",https://www.reuters.com/technology/space/starship-carrying-teslas-bot-set-mars-by-end-2026-elon-musk-2025-03-15/,Reuters,2025-03-15
"Telegram's Durov allowed to leave France amid probe, AFP reports",https://www.reuters.com/world/europe/telegrams-durov-allowed-leave-france-amid-probe-afp-reports-2025-03-15/,Reuters,2025-03-15
Court hearing reported to be Apple's appeal against UK order held in secret,https://www.reuters.com/technology/court-hearing-reported-be-apples-appeal-against-uk-order-held-secret-2025-03-14/,Reuters,2025-03-15
"China to crack down on stock market fake news as AI spurs misinformation, says state media",https://www.reuters.com/world/china/china-crack-down-stock-market-fake-news-ai-spurs-misinformation-says-state-media-2025-03-15/,Reuters,2025-03-15
Electronics giant Foxconn forecasts strong Q1 revenue after profit miss,https://www.reuters.com/technology/worlds-top-electronics-maker-foxconn-q4-profit-drops-13-2025-03-14/,Reuters,2025-03-15
Sweden's Klarna discloses 24% revenue surge in much-awaited U.S. IPO filing,https://www.reuters.com/markets/deals/swedish-fintech-klarna-reveals-us-ipo-paperwork-2025-03-14/,Reuters,2025-03-15
"India's Zetwerk mulls public listing within two years, co-founder says",https://www.reuters.com/markets/deals/indias-zetwerk-mulls-public-listing-within-two-years-co-founder-says-2025-03-15/,Reuters,2025-03-15
Intel's new CEO to receive $1 million as base salary,https://www.reuters.com/technology/intels-new-ceo-receive-1-mln-base-salary-2025-03-14/,Reuters,2025-03-15
China's Baidu launches two new AI models as industry competition heats up,https://www.reuters.com/technology/artificial-intelligence/chinas-baidu-launches-two-new-ai-models-industry-competition-heats-up-2025-03-16/,Reuters,2025-03-16
"Quantum computing, AI stocks rise as Nvidia kicks off annual conference",https://www.reuters.com/technology/quantum-computing-ai-stocks-rise-nvidia-kicks-off-annual-conference-2025-03-17/,Reuters,2025-03-17
Exclusive: Intel's new CEO plots overhaul of manufacturing and AI operations,https://www.reuters.com/technology/intels-new-ceo-plots-overhaul-manufacturing-ai-operations-2025-03-17/,Reuters,2025-03-17
"Consoles to power videogame market growth until 2027 on 'GTA VI', Switch boost",https://www.reuters.com/technology/consoles-power-videogame-market-growth-until-2027-gta-vi-switch-boost-2025-03-17/,Reuters,2025-03-17
"In TikTok sale, the White House is playing an unprecedented role",https://www.reuters.com/world/us/white-houses-unusual-role-dealmaker-tiktok-sale-2025-03-17/,Reuters,2025-03-17
"BYD unveils new super-charging EV tech, to build charging network in China",https://www.reuters.com/business/autos-transportation/chinas-byd-unveils-faster-charging-ev-platform-aims-build-over-4000-charging-2025-03-17/,Reuters,2025-03-17
"Google preparing to partner with Taiwan's MediaTek on next AI chip, Information reports",https://www.reuters.com/technology/artificial-intelligence/google-preparing-partner-with-taiwans-mediatek-next-ai-chip-information-reports-2025-03-17/,Reuters,2025-03-17
Telegram's Durov: I am back in Dubai,https://www.reuters.com/technology/telegrams-durov-i-am-back-dubai-2025-03-17/,Reuters,2025-03-17
Nvidia CEO to defend AI dominance as competition intensifies,https://www.reuters.com/technology/nvidia-ceo-defend-ai-dominance-competition-intensifies-2025-03-17/,Reuters,2025-03-17
"Klarna, OnePay unveil installment loans tie-up for Walmart shoppers in US",https://www.reuters.com/technology/klarna-onepay-unveil-installment-loans-tie-up-walmart-shoppers-us-2025-03-17/,Reuters,2025-03-17
"UK must have global ambition in AI, DeepMind's Hassabis says",https://www.reuters.com/technology/artificial-intelligence/uk-must-have-global-ambition-ai-deepminds-hassabis-says-2025-03-17/,Reuters,2025-03-17
